Nome;Razão social;CPF;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro
Suzan Jet;;;;;;;;;;;;
SUZAN JET;;;04445269000132;;;;;;;;;
SUZAN JET MAQ. E EQUIPAMENTOS LTDA - ME;;;;;;;;;;;;
SUZAN JET MAQUINAS E EQUIPAMEN;;;;;;;;;;;;
SUZANO CARRINHOS RODAS;;;;;;;;;;;;
SUZANO DRYWALL CENTER;;;14625751000108;;;;;;;;;
Suzano EPI;;;;;;;;;;;;
SUZANO HOTEL CLUB LTDA;;;36097575000111;;;;;;;;;
SUZURAN BOMBONIERE LTDA - ME;;;;;;;;;;;;
SYLVAMO DO BRASIL LTDA;SYLVAMO DO BRASIL LTDA;;52736949001987;424058527115;marco.rodrigues1@ipaper.com;1639869154;14210000;SP;Luís Antônio;Rod. SP 255, Km 41,240;S/N;Varzea dos Genipapo
TABOAS & TABOAS COMERCIO DE GAS E AGUA LTDA;TABOAS & TABOAS COMERCIO DE GAS E AGUA LTDA;;38261130000150;672481419119;;11973947925;08655000;SP;Suzano;INDIO TIBIRICA;05465;VILA SOL NASCENTE
Takaharu Tatebe ENGENHEIRO CIVIL;;;;;;;;;;;;
Takahashi e Tomonari;;;;;;;;;;;;
TDPS TREINAMENTO E DESENVOLVIMENTO PROFISSIONAL E;;;;;;;;;;;;
Techcd Informatica, Comercio e Servicos EIRELI;Techcd Informatica, Comercio e Servicos EIRELI;;03520018000102;115623630114;;1136776655;05024030;SP;São Paulo;R VENANCIO AIRES;414;Vila Pompeia
TECLABEL SOLUCOES INDUSTRIAIS LTDA;TECLABEL SOLUCOES INDUSTRIAIS LTDA;;07114368000120;117041080115;;1121829400;04762040;SP;São Paulo;RUA PTOLOMEU;76;SOCORRO
TECLABEL SOLUÇÕES INDUSTRIAIS LTDA;;;;;;;;;;;;
TECNOCLEAN LAVAGENS LTDA;;;45583965000192;;;;;;;;;
TECNOPLAST AMBIENTAL;;;12930470000133;;;;;;;;;
TECNOTRI INDÚSTRIA DE PLASTICOS S.A - SP;;;04452774000376;;;;;;;;;
Tecservice Serviços de manutenção;;;17093317000112;;;;;;;;;
TEDEMIX INDUSTRIA E COMERCIO LTDA;TEDEMIX INDUSTRIA E COMERCIO LTDA;;00026733000103;118873726117;;1155101600;04691060;SP;São Paulo;RUA ARNALDO MAGNICCARO;868;VILA GEA
TEGIMA TUBOS VALVULAS E CONECÕES;;;07298798000149;;;;;;;;;
Tendemix;;;;;;;;;;;;
THIAGO PANDOLFI CALIMAN - ALUGUEL GALPÃO BAHIA EUNAPOLIS;;83350268587;;;;;;;;;;
THPEL DISTRIBUIDORA;;;;;;;;;;;;
TH PEL DISTRIBUIDORA EM GERAL E SERVICOS LOGISTICOS LTDA;;;44376148000109;;;;;;;;;
Tiago Silva frete;;;;;;;;;;;;
Tiago Silva - frete;;;;;;;;;;;;
TIBIKKO serviços;;;02964371000119;;;;;;;;;
TKS SERVICOS DE MONTAGEM LTDA;;;52954077000102;;;;;;;;;
Tobema Transportadora;;;;;;;;;;;;
TOLEDO DO BRASIL INDUSTRIA DE BALANCAS LTDA.;TOLEDO DO BRASIL INDUSTRIA DE BALANCAS LTDA.;;59704510000192;635542560110;;1143569000;09851330;SP;São Bernardo do Campo;Rua Manoel Cremonesi;1;Alves Dias
Tonico;;;;;;;;;;;;
Tonico ANTONIO CASTRO SAMPAIO - ME;;;;;;;;;;;;
TOPFER COMERCIO DE FERRO E AÇO;;;;;;;;;;;;
TOPFER COMERCIO DE FERRO E AÇO;;;;;;;;;;;;
TOP GAS - Cajaes Comércio de Gás Eireli;;;38733596000101;;;;;;;;;
TOP PAPER & BOX INDUSTRIA DE PAPEL E EMBALAGENS LTDA;TOP PAPER & BOX INDUSTRIA DE PAPEL E EMBALAGENS LTDA;;35503800000100;11603343;LFG@HOTMAIL.COM;2198185334;25946631;RJ;Guapimirim;COMANDANTE BARCELAR;731;VALE JEQUITIBA
Toyota Material Handling Mercosur Ind. e Com. de Equipamentos Ltda;;;06053214000889;;;;;;;;;
TOYOTA MAT HANDL MERC IND E COM EQ LTDA;TOYOTA MAT HANDL MERC IND E COM EQ LTDA;;06053214000102;799213842114;;1135110400;09852070;SP;São Bernardo do Campo;ESTRADA PARTICULAR SADAE TAKAGI;2235;COOPERATIVA
TQA INDUSTRIA E COMERCIO LTDA;TQA INDUSTRIA E COMERCIO LTDA;;01221461000157;225097533111;;551140405628;12914970;SP;Bragança Paulista;Rod Benevenuto Moreto Km 6;5;Sete Barras
transdelta transportadora delta ltda;transdelta transportadora delta ltda;;19898972000173;796013754117;;;;SP;Guarulhos;Rua Caminho do Campo do Rincão , 113 - Galpão 2 -;;
Transleste;;;;;;;;;;;;
TRANSMELO TRANSPORTES;;;08261602000104;;;;;;;;;
TRANSPORTADORA CEMIL LTDA;TRANSPORTADORA CEMIL LTDA;;77776060000478;;documentos.cemil@sengespapel.com.br.;35678600;84220000;PR;Sengés;AV ERMINIA ROLIM LUPION;;CENTRO
TRANSPORTADORA CONTATTO LTDA;;;43251230000306;;;;;;;;;
TRANSPORTADORA JVBC;;;;;;;;;;;;
Transportes de Cargas Cidade Edson Ltda;;;;;;;;;;;;
Transportes e logística campos;;;;;;;;;;;;
Transporte Trans Caçamba Eireli ME ou Cristiane Matiko Tashiro Kataoka;;;07893131000194;;;;;;;;;
TREVO ESTACIONAMENTO E LAVAGEM DE CAMINHOES LTDA;;;32204910000182;;;;;;;;;
Trianon;;;;;;;;;;;;
Trionon;;;;;;;;;;;;
TR NETTO;;;24744191000164;;;;;;;;;
TROPICOS INDUSTRIAL E COMERCIAL LTDA;TROPICOS INDUSTRIAL E COMERCIAL LTDA;;05520733000170;9027600163;;4236295909;85110000;PR;Guarapuava;Rua Avenida Padre Evaldo Feldhaus;S/N;Centro
Tseg Seguranca Ocupacional;;;45305820000120;;;;;;;;;
uber;;;;;;;;;;;;
Unidas;;;;;;;;;;;;
UNIMIX CONCRETO USINADO LTDA;;;51058574000151;;;;;;;;;
UNO COMERCIO DE MATERIAIS DE CONSTRUCAO;;;;;;;;;;;;
UNO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;UNO COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;;74220112000437;672656450110;;1147413180;08673115;SP;Suzano;AVENIDA ARMANDO SALLES DE OLIVEIRA, 1520 - LOJA 1;1520;CONJUNTO RESIDENCIAL
UNO COMERCIO DE MATERIAIS ELETRICOS LTDA;;;;;;;;;;;;
UPPER RENTAL COMPANY LOCAÇÃO DE PLATAFORMAS LTDA.;;;;;;;;;;;;
UPS DO BRASIL REMESSAS EXPRESSAS;;;74155052000173;;;;;;;;;
UREIA BRASIL AGRONEGOCIO LTDA;UREIA BRASIL AGRONEGOCIO LTDA;;50744940000163;9100497392;;41987472453;83703035;PR;Araucária;ROD BR - 476;10055;PORTO DAS LARANJEIRAS
USINAGEM UNIÃO;;;;;;;;;;;;
UWL BRASIL;;;13753483000147;;;;;;;;;
Vale refeição Marcelo;;;;;;;;;;;;
Vale t;;;;;;;;;;;;
Vale Transporte;;;;;;;;;;;;
Vale - Transporte;;;;;;;;;;;;
VALLE EMPREITEIRA DE OBRAS DE ALVENARIA E JARDINAGEM LTDA;;;;;;;;;;;;
VANGUARD LOGISTICS;;;;;;;;;;;;
VERA LUCIA DE FREITAS MOGI DAS CRUZES-ME;VERA LUCIA DE FREITAS MOGI DAS CRUZES-ME;;04036876000149;454256805114;;1146935737;08772995;SP;Mogi das Cruzes;MINAS GERAIS;4;CHACARA DO GUANABARA
VERAS EMBALAGENS LTDA;;;30925840000126;;;;;;;;;
V G GURALH LTDA;;;;;;;;;;;;
VHF SACOLAS E TAPETES PERSONALIZADOS EIRELI;VHF SACOLAS E TAPETES PERSONALIZADOS EIRELI;;33333780000140;286541122118;;1140488066;09990570;SP;Diadema;R FERNANDO MARTINEZ GUEBARA;196;CONCEICAO
VIDEIRA;;;;;;;;;;;;
VIEIRA COMERCIO DE GAS LTDA ME;VIEIRA COMERCIO DE GAS LTDA ME;;11999789000152;379194398113;;1146474846;08595520;SP;Itaquaquecetuba;av roosevelt;95;jardim do vale
Vieira Gás;;;;;;;;;;;;
VINCENZO PERINI NETO;;;;;;;;;;;;
VINÍCIUS ZACARIAS MACEDO SANTOS;;19192899765;;;;;;;;;;
VITTA QUIMICA INDUSTRIA E COMERCIO LTDA;VITTA QUIMICA INDUSTRIA E COMERCIO LTDA;;10745687000148;528152556113;tatiana.ribeiro@vittaquimica.com.br;36447700;12412805;SP;Pindamonhangaba;AVENIDA DOM JOÃO VI;600;DISTRITO INDUSTRIAL
Vivo;;;;;;;;;;;;
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;;59104422005704;635014699111;;1143472355;09823901;SP;São Bernardo do Campo;ESTR. MARGINAL VIA ANCHIETA;S/N;DEMARCHI
VR METAIS CALDEIRARIA INDUSTRIAL LTDA;VR METAIS CALDEIRARIA INDUSTRIAL LTDA;;35399576000158;672457926116;;11986481956;08680010;SP;Suzano;AVENIDA PAUL PERCY HARRIS;936;VILA MARIA DE MAGGI
VZP COMERCIO DE EMBALAGENS LTDA ME;;;46204808000191;;;;;;;;;
WAGNER DIAS DE ANDRADE;WAGNER DIAS DE ANDRADE;;37802467000165;672496123114;;11984216337;08664735;SP;Suzano;Rua Valdecir Ferreira dos Reis;600;Jardim das Flores
WALB Engenharia e Comércio Ltda.;;;;;;;;;;;;
WALDESA MOTOMERCANTIL;;;05049535000170;;;;;;;;;
WANA INDUSTRIA E COMERC IO DE PRODUTOS QUIMICOS LTDA;;;07009769000209;;;;;;;;;
WATER LAB - ANALISES AMBIENTAIS LTDA EPP;;;67287326000112;;;;;;;;;
Wide pay;;;;;;;;;;;;
WIDE PAY PROCESSADOR DE PAGAMENTO  LTDA;WIDE PAY PROCESSADOR DE PAGAMENTO  LTDA;;25063833000122;;;;79005610;MS;Campo Grande;RUA PRIMEIRO DE JULHO;192;VILA CARVALHO
W M TRANSFORMADORES LTDA - EPP;W M TRANSFORMADORES LTDA - EPP;;02344628000130;115392294114;;1133317738;01208000;SP;São Paulo;RUA DOS ANDRADAS;460;SANTA IFIGENIA
WORLD RESIDUOS LTDA;;;10837412000134;;;;;;;;;
WRD - Comercio Atacadista de Materiais de Construcao;;;24394085000106;;;;;;;;;
WWR QUIMICOS LTDA;WWR QUIMICOS LTDA;;56072631000170;581244638119;;11976212753;09432300;SP;Ribeirão Pires;estrada de sapopemba;7.123;SANTA LUZIA
YZHAO - ECOMMERCE - COMERCIO DE ACESSORIOS E ARMARINHOS EM G;YZHAO - ECOMMERCE - COMERCIO DE ACESSORIOS E ARMARINHOS EM G;;38482457000152;154379009119;;11911292026;01506900;SP;São Paulo;Rua Galvao Bueno;212;Liberdade
ZÜRICH INDÚSTRIA E COMÉRCIO LTDA.;;;;;;;;;;;;
Zw Motores Elétricos;;;;;;;;;;;;
